index	Perturbed_Question	Perturbed_sentence	label	Original_Question	Original_sentence	original_label
278	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it possible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
279	Article 34 meant states could be irresponsible for what?	It also means states can be responsible for private actors.	0	Article 34 meant states could be responsible for what?	It also means states can be responsible for private actors.	1
280	Who did the BBC malfunction with to reconstruct some of The Invasion episodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	0	Who did the BBC work with to reconstruct some of The Invasion episodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	1
281	What are malum prohibitum considerations?	Some legal inessential come from malum in se considerations, or the desire to prevent things that are indisputably bad – bridge collapses or explosions.	1	What are malum prohibitum considerations?	Some legal requirements come from malum in se considerations, or the desire to prevent things that are indisputably bad – bridge collapses or explosions.	0
282	When did Great Britain keep its colonies in North America?	Its growth was reversed by the loss of the American colonies in 1776.	0	When did Great Britain lose its colonies in North America?	Its growth was reversed by the loss of the American colonies in 1776.	1
283	Upon what chemical characteristic is oxygen's solubility dependent?	The unsolvability of oxygen in water is temperature-dependent, and about twice as much (14.6 mg·L−1) dissolves at 0 °C than at 20 °C (7.6 mg·L−1).	0	Upon what chemical characteristic is oxygen's solubility dependent?	The solubility of oxygen in water is temperature-dependent, and about twice as much (14.6 mg·L−1) dissolves at 0 °C than at 20 °C (7.6 mg·L−1).	1
284	What is the a required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	1	What is the minimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	0
285	What did Herr Gott, dich loben wir become o as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified o of the melody."	1	What did Herr Gott, dich loben wir become known as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	0
286	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (m) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	1	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	0
287	What is the r of the professional skateboarder that lives in southern California?	h California is also s to the r of yachting.	1	What is the name of the professional skateboarder that lives in southern California?	Southern California is also important to the world of yachting.	0
288	Where did Temüjin s during his escape from the Tayichi'ud?	Temüjin's p t t w after his escape from the Tayichi'ud.	1	Where did Temüjin hide during his escape from the Tayichi'ud?	Temüjin's reputation also became widespread after his escape from the Tayichi'ud.	0
289	What are the most active v of ctenophora?	These branch through the mesoglea to the most y parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	0	What are the most active parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	1
