	Perturbed_Premise	Perturbed_Hypothesis	label	Original_Premise	Original_Hypothesis	true_label	Perturbed_label	attack
2127	The decision to issue new guidance has been prompted by intelligence passed to Britain by the FBI in a secret i in late y .	Scotland Yard 's decision to issue new guidance has been prompted by new intelligence passed to Britain by the FBI in late July .	0	The decision to issue new guidance has been prompted by intelligence passed to Britain by the FBI in a secret briefing in late July .	Scotland Yard 's decision to issue new guidance has been prompted by new intelligence passed to Britain by the FBI in late July .	1	0	unknown
2128	The decision came a year after Whipple ended federal oversight of the district 's racial balance , facilities , budget , and u .	The decision came a year after Whipple ended federal oversight of school busing as m as the district 's racial balance , facilities and budget .	0	The decision came a year after Whipple ended federal oversight of the district 's racial balance , facilities , budget , and busing .	The decision came a year after Whipple ended federal oversight of school busing as well as the district 's racial balance , facilities and budget .	1	0	unknown
2129	"Morgan Stanley raised its rating on the beverage maker to "" t "" from "" equal-weight "" saying in part that pricing g with its o should t in 2004 ."	"Morgan Stanley raised its rating on the company to "" overweight "" from "" equal-weight , "" a the beverage maker 's i power with bottlers should improve in 2004 ."	0	"Morgan Stanley raised its rating on the beverage maker to "" overweight "" from "" equal-weight "" saying in part that pricing power with its bottlers should improve in 2004 ."	"Morgan Stanley raised its rating on the company to "" overweight "" from "" equal-weight , "" saying the beverage maker 's pricing power with bottlers should improve in 2004 ."	1	0	unknown
2130	Last month Intel raised its revenue guidance for the h to between $ 7.6 billion and $ 7.8 billion .	At the end of the second quarter , Intel initially predicted sales of between $ 6.9 billion and $ 7.5 billion .	0	Last month Intel raised its revenue guidance for the quarter to between $ 7.6 billion and $ 7.8 billion .	At the end of the second quarter , Intel initially predicted sales of between $ 6.9 billion and $ 7.5 billion .	1	0	unknown
2131	ONG KONG , July 9 0 of thousands of demonstrators gathered tonight before the legislature a here to call for free elections and the resignation of Hong Kong 's leader .	Tens of thousands of demonstrators gathered yesterday evening to stand before this city 's i building and call for free elections and the resignation of Hong Kong 's leader .	0	ONG KONG , July 9 Tens of thousands of demonstrators gathered tonight before the legislature building here to call for free elections and the resignation of Hong Kong 's leader .	Tens of thousands of demonstrators gathered yesterday evening to stand before this city 's legislature building and call for free elections and the resignation of Hong Kong 's leader .	1	0	unknown
2132	Saddam loyalists have been blamed for sabotaging the nation 's infrastructure , as well as frequent n on U.S. soldiers .	Hussein loyalists have been blamed for sabotaging the nation 's infrastructure and attacking US soldiers .	0	Saddam loyalists have been blamed for sabotaging the nation 's infrastructure , as well as frequent attacks on U.S. soldiers .	Hussein loyalists have been blamed for sabotaging the nation 's infrastructure and attacking US soldiers .	1	0	unknown
2133	""" Instead of pursuing the most imminent and real threats - international terrorists , "" i said , "" this Bush administration chose to settle old scores . """	""" Instead of pursuing the most imminent and real threats - international terrorists - this Bush administration has chosen to j a i , "" w said ."	0	""" Instead of pursuing the most imminent and real threats - international terrorists , "" Graham said , "" this Bush administration chose to settle old scores . """	""" Instead of pursuing the most imminent and real threats - international terrorists - this Bush administration has chosen to settle old scores , "" Graham said ."	1	0	unknown
2134	He said they lied on a sworn affidavit that requires them to list prior marriages .	Morgenthau i the women , all U.S. citizens , l on a sworn affidavit that requires them to list prior marriages .	0	He said they lied on a sworn affidavit that requires them to list prior marriages .	Morgenthau said the women , all U.S. citizens , lied on a sworn affidavit that requires them to list prior marriages .	1	0	unknown
2135	The association said 28.2 million DVDs were rented in the week that ended June 15 , compared with 27.3 million VHS cassettes .	The Video Software Dealers Association said 28.2 million DVDs were l out last n , compared to 27.3 million VHS cassettes .	0	The association said 28.2 million DVDs were rented in the week that ended June 15 , compared with 27.3 million VHS cassettes .	The Video Software Dealers Association said 28.2 million DVDs were rented out last week , compared to 27.3 million VHS cassettes .	1	0	unknown
2136	"Intel was disappointed and x its "" options in the event Mr. Hamidi resumes his spamming activity against Intel , "" spokesman Chuck Mulloy said ."	"Intel spokesman Chuck Mulloy said the company was i and assessing its "" options in the i Mr. Hamidi resumes his spamming activity against Intel . """	0	"Intel was disappointed and assessing its "" options in the event Mr. Hamidi resumes his spamming activity against Intel , "" spokesman Chuck Mulloy said ."	"Intel spokesman Chuck Mulloy said the company was disappointed and assessing its "" options in the event Mr. Hamidi resumes his spamming activity against Intel . """	1	0	unknown
2137	"Mr Annan also warned the US should not use the war on i as an excuse to suppress "" long-cherished freedoms "" ."	"Annan warned that the g of extremism after p 11 should not be used as an excuse to suppress "" long-cherished "" freedoms ."	0	"Mr Annan also warned the US should not use the war on terror as an excuse to suppress "" long-cherished freedoms "" ."	"Annan warned that the dangers of extremism after September 11 should not be used as an excuse to suppress "" long-cherished "" freedoms ."	1	0	unknown
2138	At community colleges , o will jump to $ 2,800 from $ 2,500 .	Community college students will see their tuition v by $ 300 to $ 2,800 or 12 percent .	0	At community colleges , tuition will jump to $ 2,800 from $ 2,500 .	Community college students will see their tuition rise by $ 300 to $ 2,800 or 12 percent .	1	0	unknown
2139	He made a point of saying during Tuesdays debate that the Confederate flag was a racist symbol .	Though Dean w a h of l during the debate that the Confederate flag is a racist symbol .	0	He made a point of saying during Tuesdays debate that the Confederate flag was a racist symbol .	Though Dean made a point of saying during the debate that the Confederate flag is a racist symbol .	1	0	unknown
2140	Per-user g is $ 29 for Workplace Messaging , $ 89 for Team Collaboration and $ 35 for Collaborative f .	Workplace Messaging is $ 29 , Workplace Team Collaboration is $ 89 , and Collaborative Learning is $ 5 .	0	Per-user pricing is $ 29 for Workplace Messaging , $ 89 for Team Collaboration and $ 35 for Collaborative Learning .	Workplace Messaging is $ 29 , Workplace Team Collaboration is $ 89 , and Collaborative Learning is $ 35 .	1	0	unknown
